Country or Area,Poorest 20% Attendance in early childhood education,Male Attendance in early childhood education,Total Attendance in early childhood education,Richest 20% Attendance in early childhood education,Female Attendance in early childhood education
Denmark,0.0,0.0,0.0,0.0,0.0
Djibouti,6.0,2.0,49,24.0,3.0
Dominica,35.5,17.0,44.0,55.5,18.5
Dominican Republic,35.5,17.0,44.0,55.5,18.5
Ecuador,25.0,42.5,20.0,70.5,44.5
Egypt,8.0,17.0,17.0,63.0,16.5
El Salvador,16.0,87.0,86.0,59.0,85.0
Equatorial Guinea,6.0,25.0,61,49.0,19.0
Eritrea,6.0,2.0,49,24.0,3.0
Estonia,0.0,0.0,0.0,0.0,0.0
Ethiopia,6.0,2.0,49,24.0,3.0
Fiji,6.0,2.0,49.0,24.0,3.0
Finland,0.0,0.0,0.0,0.0,0.0
France,0.0,0.0,0.0,0.0,0.0
Gabon,6.0,25.0,61,49.0,19.0
Gambia,13.0,98.0,6,33.0,97.0
Georgia,17.0,5.0,98,70.0,5.0
Germany,0.0,0.0,0.0,0.0,0.0
Ghana,42.0,12.0,5,97.0,16.0
Greece,13.75,23.25,24.5,53.0,25.0
Grenada,35.5,17.0,44.0,55.5,18.5
Guatemala,16.0,87.0,86.0,59.0,85.0
Guinea,6.0,2.0,49,24.0,3.0
Guinea-Bissau,4.0,17.0,14,26.0,19.0
Guyana,33.0,44.0,18,78.0,42.0
Haiti,6.0,2.0,49,24.0,3.0
Honduras,16.0,87.0,86.0,59.0,85.0
Hungary,30.0,8.0,33.0,74.0,7.0
Iceland,0.0,0.0,0.0,0.0,0.0
India,9.333333333333334,18.0,36.333333333333336,34.666666666666664,19.666666666666668
Indonesia,22.5,32.666666666666664,22.5,51.166666666666664,33.0
Iran (Islamic Republic of),9.333333333333334,18.0,36.333333333333336,34.666666666666664,19.666666666666668
Iraq,10.5,3.5,56.0,44.0,3.5
Ireland,0.0,0.0,0.0,0.0,0.0
Israel,10.5,3.5,56.0,44.0,3.5
Italy,13.75,23.25,24.5,53.0,25.0
Jamaica,35.5,17.0,44.0,55.5,18.5
Japan,26.0,21.0,37.0,83.0,17.0
Jordan,10.5,3.5,56.0,44.0,3.5
Kazakhstan,19.0,65.0,43,61.0,72.0
Kenya,6.0,29.0,32,47.0,26.0
Kiribati,6.0,2.0,49,24.0,3.0
Kuwait,10.5,3.5,56.0,44.0,3.5
Kyrgyzstan,7.0,10.0,68,47.0,10.0
Lao People's Democratic Republic,1.0,48.0,10,44.0,50.0
Latvia,0.0,0.0,0.0,0.0,0.0
Lebanon,10.5,3.5,56.0,44.0,3.5
Lesotho,6.0,2.0,49,24.0,3.0
Liberia,6.0,2.0,49,24.0,3.0
Libya,8.0,17.0,17.0,63.0,16.5
Liechtenstein,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0,0.0,0.0
Madagascar,6.0,2.0,49,24.0,3.0
Malawi,6.0,2.0,49,24.0,3.0
Malaysia,22.5,32.666666666666664,22.5,51.166666666666664,33.0
Maldives,9.333333333333334,18.0,36.333333333333336,34.666666666666664,19.666666666666668
Mali,1.0,84.0,3,40.0,88.0
Malta,13.75,23.25,24.5,53.0,25.0
Marshall Islands,6.0,2.0,49.0,24.0,3.0
Mauritania,2.0,36.0,86,11.0,38.0
Mauritius,6.0,29.0,32,47.0,26.0
Mexico,16.0,87.0,86.0,59.0,85.0
Monaco,0.0,0.0,0.0,0.0,0.0
Mongolia,26.0,21.0,37,83.0,17.0
Montenegro,6.0,8.0,19,62.0,7.0
Morocco,6.0,11.0,7,78.0,12.0
Mozambique,6.0,2.0,49,24.0,3.0
Myanmar,8.0,63.0,11,46.0,60.0
Namibia,6.0,29.0,32,47.0,26.0
Nauru,6.0,2.0,49.0,24.0,3.0
Nepal,14.0,10.0,62,61.0,10.0
Netherlands,0.0,0.0,0.0,0.0,0.0
New Zealand,6.0,2.0,49.0,24.0,3.0
Nicaragua,16.0,87.0,86.0,59.0,85.0
Niger,6.0,2.0,49,24.0,3.0
Nigeria,5.0,5.0,10,70.0,5.0
Norway,0.0,0.0,0.0,0.0,0.0
Oman,10.5,3.5,56.0,44.0,3.5
Pakistan,9.333333333333334,18.0,36.333333333333336,34.666666666666664,19.666666666666668
Panama,16.0,87.0,86.0,59.0,85.0
Papua New Guinea,6.0,2.0,49.0,24.0,3.0
Paraguay,25.0,42.5,20.0,70.5,44.5
Peru,25.0,42.5,20.0,70.5,44.5
Philippines,22.5,32.666666666666664,22.5,51.166666666666664,33.0
Poland,30.0,8.0,33.0,74.0,7.0
Portugal,13.75,23.25,24.5,53.0,25.0
Qatar,10.5,3.5,56.0,44.0,3.5
Republic of Korea,26.0,21.0,37.0,83.0,17.0
Republic of Moldova,30.0,8.0,33.0,74.0,7.0
Romania,30.0,8.0,33.0,74.0,7.0
Russian Federation,30.0,8.0,33.0,74.0,7.0
Rwanda,6.0,2.0,49,24.0,3.0
Saint Kitts and Nevis,35.5,17.0,44.0,55.5,18.5
Saint Lucia,35.5,17.0,44.0,55.5,18.5
Saint Vincent and the Grenadines,35.5,17.0,44.0,55.5,18.5
Samoa,6.0,2.0,49.0,24.0,3.0
San Marino,13.75,23.25,24.5,53.0,25.0
Sao Tome and Principe,18.0,58.0,5,51.0,61.0
Saudi Arabia,10.5,3.5,56.0,44.0,3.5
Senegal,7.0,28.0,60,43.0,30.0
Serbia,22.0,36.0,29,75.0,41.0
Seychelles,6.0,29.0,32,47.0,26.0
Sierra Leone,5.0,23.0,39,42.0,23.0
Singapore,22.5,32.666666666666664,22.5,51.166666666666664,33.0
Slovakia,30.0,8.0,33.0,74.0,7.0
Slovenia,13.75,23.25,24.5,53.0,25.0
Solomon Islands,6.0,2.0,49,24.0,3.0
Somalia,1.0,29.0,23,6.0,31.0
South Africa,6.0,29.0,32,47.0,26.0
South Sudan,2.0,32.0,30,13.0,32.0
Spain,13.75,23.25,24.5,53.0,25.0
Sri Lanka,9.333333333333334,18.0,36.333333333333336,34.666666666666664,19.666666666666668
State of Palestine,10.5,3.5,56.0,44.0,3.5
Sudan,10.0,23.0,27,48.0,21.0
Suriname,17.0,41.0,22,63.0,47.0
Swaziland,36.0,13.0,44,50.0,15.0
Sweden,0.0,0.0,0.0,0.0,0.0
Switzerland,0.0,0.0,0.0,0.0,0.0
Syrian Arab Republic,4.0,2.0,14,18.0,2.0
Tajikistan,1.0,6.0,2,29.0,6.0
Thailand,55.0,21.0,6,78.0,21.0
The former Yugoslav Republic of Macedonia,13.75,23.25,24.5,53.0,25.0
Timor-Leste,6.0,2.0,49,24.0,3.0
Togo,10.0,37.0,20,52.0,40.0
Tonga,6.0,2.0,49.0,24.0,3.0
Trinidad and Tobago,65.0,32.0,39,87.0,34.0
Tunisia,8.0,17.0,17.0,63.0,16.5
Turkey,10.5,3.5,56.0,44.0,3.5
Turkmenistan,8.0,23.0,30.25,45.75,24.5
Tuvalu,6.0,2.0,49,24.0,3.0
Uganda,6.0,2.0,49,24.0,3.0
Ukraine,30.0,8.0,33,74.0,7.0
United Arab Emirates,10.5,3.5,56.0,44.0,3.5
United Kingdom,0.0,0.0,0.0,0.0,0.0
United Republic of Tanzania,6.0,2.0,49,24.0,3.0
United States,0.0,0.0,0.0,0.0,0.0
Uruguay,25.0,42.5,20.0,70.5,44.5
Uzbekistan,5.0,11.0,8,46.0,10.0
Vanuatu,6.0,2.0,49,24.0,3.0
Venezuela (Bolivarian Republic of),25.0,42.5,20.0,70.5,44.5
Viet Nam,59.0,60.0,10,91.0,61.0
Yemen,10.5,3.5,56.0,44.0,3.5
Zambia,6.0,2.0,49,24.0,3.0
Zimbabwe,6.0,29.0,32,47.0,26.0
