Country or Area,Poorest 20% Learning materials at home - Children's books,Total Learning materials at home - Children's books,Richest 20% Learning materials at home - Children's books
Togo,1.25,12.0,21.666666666666668
Tonga,0.0,0.0,0.0
Trinidad and Tobago,66,81,93
Tunisia,9.0,21.0,52.0
Turkey,21.333333333333332,31.333333333333332,58.333333333333336
Turkmenistan,34.0,34.75,63.25
Tuvalu,0.0,0.0,0.0
Uganda,2.0,3.0,10.0
Ukraine,93,97,99
United Arab Emirates,21.333333333333332,31.333333333333332,58.333333333333336
United Kingdom,0.0,0.0,0.0
United Republic of Tanzania,2.0,3.0,10.0
United States,0.0,0.0,0.0
Uruguay,24.0,46.5,80.5
Uzbekistan,32,43,59
Vanuatu,0.0,0.0,0.0
Venezuela (Bolivarian Republic of),24.0,46.5,80.5
Viet Nam,3,20,49
Yemen,4,10,31
Zambia,2.0,3.0,10.0
Zimbabwe,2.0,3.0,10.0
