Country or Area,Urban Net attendance ratio in primary education (NAR),Ratio of richest to poorest Net attendance ratio in primary education (NAR),Female Net attendance ratio in primary education (NAR),Poorest 20% Net attendance ratio in primary education (NAR),Richest 20% Net attendance ratio in primary education (NAR),Ratio of urban to rural Net attendance ratio in primary education (NAR),Rural Net attendance ratio in primary education (NAR),Male Net attendance ratio in primary education (NAR)
Dominican Republic,95.0,1.7,98.0,50.0,87.0,1.0,95.0,97.0
Ecuador,0.0,0.0,97.0,0.0,0.0,0.0,0.0,97.0
Egypt,91.0,1.6,75.0,25.0,39.0,1.0,87.0,72.0
Equatorial Guinea,0.0,0.0,91.0,0.0,0.0,0.0,0.0,90.0
Eritrea,0.0,0.0,75.0,0.0,0.0,0.0,0.0,77.0
Ethiopia,86.0,1.6,93.0,35.0,55.0,1.4,61.0,91.0
Fiji,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
French Polynesia,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
French Southern Territories,83.0,1.5,96.0,53.0,80.0,1.2,67.0,99.0
Gabon,0.0,0.0,92.0,0.0,0.0,0.0,0.0,90.0
Gambia,53.0,1.1,77.0,65.0,73.0,1.5,35.0,81.0
Georgia,97.0,1.1,75.0,92.0,98.0,1.0,95.0,76.0
Ghana,80.0,1.4,98.0,62.0,86.0,1.2,68.0,98.0
Guam,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Guinea,0.0,0.0,88.0,0.0,0.0,0.0,0.0,86.0
Guinea-Bissau,84.0,1.1,91.0,81.0,93.0,1.5,57.0,87.0
Guyana,96.0,1.7,28.0,52.0,86.0,1.0,94.0,32.0
Haiti,0.0,0.0,93.0,0.0,0.0,0.0,0.0,91.0
Heard Island and McDonald Islands,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Honduras,92.0,1.5,80.0,28.0,42.0,1.1,86.0,78.0
India,0.0,0.0,48.0,0.0,0.0,0.0,0.0,56.0
Indonesia,99.0,1.0,79.0,92.0,96.0,1.0,97.0,76.0
Iran (Islamic Republic of),0.0,0.0,47.0,0.0,0.0,0.0,0.0,56.0
Iraq,92.0,1.4,84.0,61.0,86.0,1.2,78.0,82.0
Jamaica,97.0,1.7,55.0,52.0,87.0,1.0,98.0,62.0
Japan,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Jordan,0.0,0.0,98.0,0.0,0.0,0.0,0.0,99.0
Kazakhstan,98.0,1.1,59.0,91.0,97.0,1.0,98.0,56.0
Kenya,81.0,1.1,97.0,80.0,90.0,1.1,72.0,97.0
Kiribati,86.0,1.0,88.0,94.0,91.0,1.2,73.0,91.0
Kyrgyzstan,93.0,1.0,97.0,99.0,98.0,1.0,92.0,95.0
Lao People's Democratic Republic,93.0,1.3,98.0,58.0,78.0,1.2,75.0,97.0
Lebanon,0.0,0.0,87.0,0.0,0.0,0.0,0.0,86.0
Lesotho,93.0,1.4,80.0,59.0,84.0,1.0,88.0,82.0
Liberia,46.0,1.4,91.0,61.0,83.0,2.2,21.0,90.0
Madagascar,93.0,1.1,93.0,83.0,94.0,1.2,77.0,91.0
Malawi,88.0,3.7,70.0,15.0,56.0,1.0,88.0,67.0
Malaysia,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Maldives,83.0,1.6,70.0,59.0,96.0,1.0,83.0,71.0
Mali,79.0,1.3,31.0,71.0,90.0,1.5,52.0,44.0
Marshall Islands,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Mauritania,72.0,1.0,60.0,82.0,82.0,1.5,49.0,65.0
Mauritius,83.0,1.5,96.0,53.0,80.0,1.2,67.0,99.0
Mayotte,83.0,1.5,96.0,53.0,80.0,1.2,67.0,99.0
Mexico,0.0,0.0,88.0,0.0,0.0,0.0,0.0,85.0
Micronesia (Federated States of),98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Mongolia,97.0,1.5,62.0,37.0,56.0,1.0,94.0,70.0
Montenegro,97.0,1.5,89.0,41.0,59.0,1.0,98.0,87.0
Morocco,96.0,1.1,96.0,93.0,98.0,1.2,83.0,96.0
Mozambique,89.0,1.1,89.0,92.0,100.0,1.1,78.0,88.0
Myanmar,93.0,1.2,85.0,77.0,95.0,1.0,89.0,84.0
Namibia,94.0,1.1,89.0,72.0,80.0,1.0,91.0,86.0
Nauru,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Nepal,70.0,1.2,89.0,81.0,94.0,1.0,69.0,88.0
New Caledonia,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
New Zealand,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Nicaragua,76.0,1.1,85.0,88.0,97.0,1.2,64.0,86.0
Niger,71.0,1.2,63.0,66.0,76.0,2.2,32.0,60.0
Nigeria,78.0,1.2,99.0,26.0,32.0,1.4,56.0,98.0
Niue,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Norfolk Island,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Northern Mariana Islands,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Pakistan,78.0,2.4,76.0,31.0,72.0,1.3,62.0,73.0
Palau,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Papua New Guinea,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Paraguay,89.0,1.8,69.0,42.0,74.0,1.0,87.0,63.0
Peru,97.0,1.1,15.0,92.0,97.0,1.0,94.0,18.0
Philippines,0.0,0.0,58.0,0.0,0.0,0.0,0.0,65.0
Pitcairn,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Republic of Korea,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Republic of Moldova,0.0,0.0,98.0,0.0,0.0,0.0,0.0,97.0
Rwanda,92.0,1.2,83.0,80.0,94.0,1.1,87.0,80.0
Réunion,83.0,1.5,96.0,53.0,80.0,1.2,67.0,99.0
Saint Helena,80.0,1.7,79.0,43.0,73.0,1.3,61.0,82.0
Samoa,89.0,1.1,79.0,85.0,91.0,1.0,88.0,83.0
Sao Tome and Principe,86.0,1.3,25.0,75.0,95.0,1.0,85.0,32.0
Senegal,81.0,1.7,92.0,47.0,78.0,1.6,50.0,91.0
Serbia,99.0,1.0,70.0,96.0,98.0,1.0,98.0,72.0
Seychelles,83.0,1.5,96.0,53.0,80.0,1.2,67.0,99.0
Sierra Leone,80.0,1.5,72.0,59.0,88.0,1.1,72.0,78.0
Singapore,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Solomon Islands,72.0,1.1,94.0,58.0,61.0,1.1,65.0,95.0
Somalia,30.0,12.5,97.0,3.0,40.0,3.3,9.0,96.0
South Africa,0.0,0.0,44.0,0.0,0.0,0.0,0.0,49.0
South Sudan,47.0,4.7,86.0,12.0,58.0,2.0,23.0,87.0
Sri Lanka,0.0,0.0,87.0,0.0,0.0,0.0,0.0,86.0
State of Palestine,0.0,0.0,95.0,0.0,0.0,0.0,0.0,95.0
Sudan,89.0,1.8,98.0,55.0,97.0,1.3,69.0,98.0
Suriname,96.0,1.1,98.0,88.0,97.0,1.1,91.0,99.0
Swaziland,97.0,1.0,73.0,95.0,99.0,1.0,96.0,71.0
Syrian Arab Republic,89.0,1.0,87.0,96.0,96.0,1.0,85.0,91.0
Tajikistan,97.0,1.0,98.0,97.0,98.0,1.0,97.0,98.0
Thailand,98.0,1.0,93.0,97.0,99.0,1.0,98.0,95.0
The former Yugoslav Republic of Macedonia,99.0,1.4,92.0,60.0,83.0,1.0,98.0,94.0
Timor-Leste,79.0,1.2,99.0,80.0,92.0,1.1,70.0,99.0
Togo,94.0,1.0,80.0,95.0,99.0,1.1,86.0,82.0
Tokelau,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Tonga,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Trinidad and Tobago,0.0,0.0,96.0,0.0,0.0,0.0,0.0,97.0
Tunisia,0.0,0.0,72.0,0.0,0.0,0.0,0.0,74.0
Turkey,94.0,1.1,76.0,87.0,95.0,1.0,91.0,70.0
Turkmenistan,0.0,0.0,96.0,0.0,0.0,0.0,0.0,96.0
Tuvalu,86.0,1.0,88.0,94.0,91.0,1.2,73.0,91.0
Uganda,85.0,1.0,82.0,78.0,75.0,1.1,81.0,79.0
Ukraine,71.0,1.4,96.0,68.0,93.0,0.9,76.0,96.0
United Republic of Tanzania,91.0,1.0,82.0,94.0,96.0,1.2,77.0,80.0
United States Minor Outlying Islands,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Uzbekistan,97.0,1.0,93.0,74.0,76.0,1.0,95.0,91.0
Vanuatu,85.0,1.2,98.0,86.0,99.0,1.1,80.0,98.0
Venezuela (Bolivarian Republic of),0.0,0.0,94.0,0.0,0.0,0.0,0.0,93.0
Viet Nam,98.0,1.0,64.0,95.0,99.0,1.0,98.0,68.0
Wallis and Futuna Islands,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Yemen,83.0,1.6,64.0,44.0,73.0,1.3,64.0,75.0
Zambia,91.0,1.3,82.0,73.0,96.0,1.2,77.0,81.0
Zimbabwe,89.0,1.1,89.0,84.0,91.0,1.0,88.0,87.0
